sites_ID;Class;Order;Family;Subfamily;Tribe;Genus;Species;Species Authors;;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Yphthimoides;Yphthimoides_renata;(Stoll, 1780);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Yphthimoides;Yphthimoides_affinis;(A. Butler, 1867);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Yphthimoides;Yphthimoides_ordinaria;(A.V.L. Freitas, L. Kaminski & O.H.H. Mielke, 2012);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Yphthimoides;Yphthimoides_angularis;(A. Butler, 1867);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Yphthimoides;Yphthimoides_pacta;(Weymer, 1911);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Euptychoides;Euptychoides_castrensis;(Schaus, 1902);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Splendeuptychia;Splendeuptychia_doxes;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Splendeuptychia;Splendeuptychia_pagyris;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Splendeuptychia;Splendeuptychia_libitina;(A. Butler, 1870);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;(A. Butler, 1867);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Zischkaia;Zischkaia_pacarus;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Godartiana;Godartiana_muscosa;(A. Butler, 1870);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Carminda;Carminda_paeon;(Godart, [1824]);;;;;;;
